old_ministry,new_ministry,reason,news_item_id,title,old_path,new_path
출처,미분류,fallback-unclassified,156369312,"2019년(12월, 연간) 수출입 동향 및 2020년 수출입 전망",data/2020/2020-01/2020-01-01/004_출처_2019년_12월_연간_수출입_동향_및_2020년_수출입_전망.md,data/2020/2020-01/2020-01-01/004_미분류_2019년_12월_연간_수출입_동향_및_2020년_수출입_전망.md
산업부,산업통상자원부,alias,156369331,(설명자료)19년 산업부가 인가한 신규 ESS 공사계획은 총 818.4MWh이며 배터리 출하량은 1.7GWh 수준임(머니투데이 1.1일자 보도에 대한 설명),data/2020/2020-01/2020-01-01/019_산업부_설명자료_19년_산업부가_인가한_신규_ESS_공사계획은_총_818_4MWh이며_배터리_출하량은_1_7GWh_수준임_머니투데이_1_1일자_보도에_.md,data/2020/2020-01/2020-01-01/019_산업통상자원부_설명자료_19년_산업부가_인가한_신규_ESS_공사계획은_총_818_4MWh이며_배터리_출하량은_1_7GWh_수준임_머니투데이_1_1일자_보도에_.md
산업부,산업통상자원부,alias,156369370,"성윤모 산업부 장관, 새해 첫 행보는 수출현장",data/2020/2020-01/2020-01-02/020_산업부_성윤모_산업부_장관_새해_첫_행보는_수출현장.md,data/2020/2020-01/2020-01-02/020_산업통상자원부_성윤모_산업부_장관_새해_첫_행보는_수출현장.md
현실,산업통상자원부,inferred,156369372,사업대가 현실화를 위한 엔지니어링 표준품셈 마련,data/2020/2020-01/2020-01-02/022_현실_사업대가_현실화를_위한_엔지니어링_표준품셈_마련.md,data/2020/2020-01/2020-01-02/022_산업통상자원부_사업대가_현실화를_위한_엔지니어링_표준품셈_마련.md
공공부,환경부,inferred,156369522,"(참고)1월 3일, 수도권 미세먼지 예비저감조치 시행",data/2020/2020-01/2020-01-02/074_공공부_참고_1월_3일_수도권_미세먼지_예비저감조치_시행.md,data/2020/2020-01/2020-01-02/074_환경부_참고_1월_3일_수도권_미세먼지_예비저감조치_시행.md
억원,국가기술표준원,inferred,156369606,첨단소재 원천이 되는 표준물질 개발에 120억원 투입,data/2020/2020-01/2020-01-03/020_억원_첨단소재_원천이_되는_표준물질_개발에_120억원_투입.md,data/2020/2020-01/2020-01-03/020_국가기술표준원_첨단소재_원천이_되는_표준물질_개발에_120억원_투입.md
산업부,산업통상자원부,alias,156369640,"(참고자료) 산업부, 천연가스 발전용 개별요금제 승인",data/2020/2020-01/2020-01-03/026_산업부_참고자료_산업부_천연가스_발전용_개별요금제_승인.md,data/2020/2020-01/2020-01-03/026_산업통상자원부_참고자료_산업부_천연가스_발전용_개별요금제_승인.md
일부,산업통상자원부,inferred,156369714,(설명자료) 신·재생에너지 보급 확대로 국내 신·재생에너지 산업 전체의 고용과 내수는 확대되었음 등(한국경제 1.4일자 보도에 대한 설명),data/2020/2020-01/2020-01-05/016_일부_설명자료_신_재생에너지_보급_확대로_국내_신_재생에너지_산업_전체의_고용과_내수는_확대되었음_등_한국경제_1_4일자_보도에_대한_설명.md,data/2020/2020-01/2020-01-05/016_산업통상자원부_설명자료_신_재생에너지_보급_확대로_국내_신_재생에너지_산업_전체의_고용과_내수는_확대되었음_등_한국경제_1_4일자_보도에_대한_설명.md
산업부,산업통상자원부,alias,156369800,"산업부, 제4기 신임 ‘산업통상자원 R&D 전략기획단장’에 나경환 단국대 산학부총장 선임",data/2020/2020-01/2020-01-06/019_산업부_산업부_제4기_신임_산업통상자원_R_D_전략기획단장_에_나경환_단국대_산학부총장_선임.md,data/2020/2020-01/2020-01-06/019_산업통상자원부_산업부_제4기_신임_산업통상자원_R_D_전략기획단장_에_나경환_단국대_산학부총장_선임.md
지원,여성가족부,inferred,156369825,학교 밖 청소년의 내일을 지원합니다,data/2020/2020-01/2020-01-06/029_지원_학교_밖_청소년의_내일을_지원합니다.md,data/2020/2020-01/2020-01-06/029_여성가족부_학교_밖_청소년의_내일을_지원합니다.md
산업부,산업통상자원부,alias,156369830,"산업부 장관, CES 방문을 통해 미래산업을 진단‧점검하고, 美 혁신기업 투자유치활동 전개",data/2020/2020-01/2020-01-06/032_산업부_산업부_장관_CES_방문을_통해_미래산업을_진단_점검하고_혁신기업_투자유치활동_전개.md,data/2020/2020-01/2020-01-06/032_산업통상자원부_산업부_장관_CES_방문을_통해_미래산업을_진단_점검하고_혁신기업_투자유치활동_전개.md
소재·부,산업통상자원부,inferred,156369831,2019년 외국인직접투자 동향,data/2020/2020-01/2020-01-06/034_소재_부_2019년_외국인직접투자_동향.md,data/2020/2020-01/2020-01-06/034_산업통상자원부_2019년_외국인직접투자_동향.md
정부,중앙사고수습본부,inferred,156369890,"(공동-설명)정부는 야생멧돼지 폐사체 수색과 포획, 울타리 설치 등을 신속히 추진하고, 방역에 대한 근본적 개선 대책을 마련하여 가축전염병 발생을 최소화해 나가겠음(한겨레 1.6 일자 기사에 대한 설명)",data/2020/2020-01/2020-01-06/055_정부_공동_설명_정부는_야생멧돼지_폐사체_수색과_포획_울타리_설치_등을_신속히_추진하고_방역에_대한_근본적_개선_대책을_마련하여_가축전염병_발생을_최.md,data/2020/2020-01/2020-01-06/055_중앙사고수습본부_공동_설명_정부는_야생멧돼지_폐사체_수색과_포획_울타리_설치_등을_신속히_추진하고_방역에_대한_근본적_개선_대책을_마련하여_가축전염병_발생을_최.md
소재·부,산업통상자원부,inferred,156369947,"(설명자료)‘19년 외국인직접투자는 장기적으로 상승추세이며, 주52시간 근로제와 법인세율 인상 등은 투자의 결정적 요인이 아님 (서울경제, 한국경제 1.7일자 보도에 대한 설명)",data/2020/2020-01/2020-01-07/023_소재_부_설명자료_19년_외국인직접투자는_장기적으로_상승추세이며_주52시간_근로제와_법인세율_인상_등은_투자의_결정적_요인이_아님_서울경제_한국경제_1_.md,data/2020/2020-01/2020-01-07/023_산업통상자원부_설명자료_19년_외국인직접투자는_장기적으로_상승추세이며_주52시간_근로제와_법인세율_인상_등은_투자의_결정적_요인이_아님_서울경제_한국경제_1_.md
소재·부,미분류,fallback-unclassified,156369948,"(설명자료)‘19년 외국인직접투자는 장기적으로 상승추세이며, 주52시간 근로제와 법인세율 인상 등은 투자의 결정적 요인이 아님 (서울경제, 한국경제 1.7일자 보도에 대한 설명)",data/2020/2020-01/2020-01-07/024_소재_부_설명자료_19년_외국인직접투자는_장기적으로_상승추세이며_주52시간_근로제와_법인세율_인상_등은_투자의_결정적_요인이_아님_서울경제_한국경제_1_.md,data/2020/2020-01/2020-01-07/024_미분류_설명자료_19년_외국인직접투자는_장기적으로_상승추세이며_주52시간_근로제와_법인세율_인상_등은_투자의_결정적_요인이_아님_서울경제_한국경제_1_.md
일부,산업통상자원부,inferred,156369970,신재생에너지 공급의무화제도(RPS) 고시 일부 개정,data/2020/2020-01/2020-01-07/030_일부_신재생에너지_공급의무화제도_RPS_고시_일부_개정.md,data/2020/2020-01/2020-01-07/030_산업통상자원부_신재생에너지_공급의무화제도_RPS_고시_일부_개정.md
출처,미분류,fallback-unclassified,156369971,RCEP 연내 서명을 위한 아세안과의 협력 강화,data/2020/2020-01/2020-01-07/031_출처_RCEP_연내_서명을_위한_아세안과의_협력_강화.md,data/2020/2020-01/2020-01-07/031_미분류_RCEP_연내_서명을_위한_아세안과의_협력_강화.md
공청,국가기술표준원,inferred,156370002,"(참고자료)국가기술표준원, 국가 R&D-표준 연계방안 모색 공청회 개최 주관",data/2020/2020-01/2020-01-07/043_공청_참고자료_국가기술표준원_국가_R_D_표준_연계방안_모색_공청회_개최_주관.md,data/2020/2020-01/2020-01-07/043_국가기술표준원_참고자료_국가기술표준원_국가_R_D_표준_연계방안_모색_공청회_개최_주관.md
위원,과학기술정보통신부,inferred,156370101,2020년 제2차 위원회 결과,data/2020/2020-01/2020-01-08/024_위원_2020년_제2차_위원회_결과.md,data/2020/2020-01/2020-01-08/024_과학기술정보통신부_2020년_제2차_위원회_결과.md
산업부,산업통상자원부,alias,156370192,"(참고자료)성윤모 산업부 장관, 美CES에서 우리기업 혁신성과 체감",data/2020/2020-01/2020-01-08/048_산업부_참고자료_성윤모_산업부_장관_CES에서_우리기업_혁신성과_체감.md,data/2020/2020-01/2020-01-08/048_산업통상자원부_참고자료_성윤모_산업부_장관_CES에서_우리기업_혁신성과_체감.md
산업부,산업통상자원부,alias,156370202,"(참고자료)산업부 차관, 이란의 이라크 미군기지 공격 관련",data/2020/2020-01/2020-01-08/057_산업부_참고자료_산업부_차관_이란의_이라크_미군기지_공격_관련.md,data/2020/2020-01/2020-01-08/057_산업통상자원부_참고자료_산업부_차관_이란의_이라크_미군기지_공격_관련.md
농식품부,농림축산식품부,alias,156370236,(공동-참고)화천군 및 연천군 민통선 내 야생멧돼지 폐사체에서 아프리카돼지열병 바이러스 검출,data/2020/2020-01/2020-01-08/073_농식품부_공동_참고_화천군_및_연천군_민통선_내_야생멧돼지_폐사체에서_아프리카돼지열병_바이러스_검출.md,data/2020/2020-01/2020-01-08/073_농림축산식품부_공동_참고_화천군_및_연천군_민통선_내_야생멧돼지_폐사체에서_아프리카돼지열병_바이러스_검출.md
